 CPU    NFS   CIFS   HTTP   Total     Net   kB/s    Disk   kB/s    Tape   kB/s   Cache  Cache    CP           CP_Ty               CP_Ph       Disk   OTHER    FCP  iSCSI     FCP   kB/s   iSCSI   kB/s   NVMeF   kB/s   kB/s   NVMeT   kB/s   kB/s
                                       in    out    read  write    read  write     age    hit  time  [T--H--F--N--B--O--#--:]  [n--v--p--f]   util                            in    out      in    out             in    out             in    out
 83% 502132      0      0  502138  120889 2135282  2818240      24       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     17%       6      0      0       0      0       0      0       0      0      0       0      0      0
 80% 504726      0      0  504779  122808 2164803  2842681       0       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     17%      53      0      0       0      0       0      0       0      0      0       0      0      0
 80% 500843      0      0  501005  121115 2134104  2810434      24       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%     162      0      0       0      0       0      0       0      0      0       0      0      0
 80% 508776      0      0  508803  123548 2179429  2849804       0       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     17%      27      0      0       0      0       0      0       0      0      0       0      0      0
 81% 502085      0      0  502106  121716 2141478  2804783    2498       0      0     2     74%    7%   0--0--0--0--0--0--0--0    0--0--0--0     17%      21      0      0       0      0       0      0       0      0      0       0      0      0
 CPU    NFS   CIFS   HTTP   Total     Net   kB/s    Disk   kB/s    Tape   kB/s   Cache  Cache    CP           CP_Ty               CP_Ph       Disk   OTHER    FCP  iSCSI     FCP   kB/s   iSCSI   kB/s   NVMeF   kB/s   kB/s   NVMeT   kB/s   kB/s
                                       in    out    read  write    read  write     age    hit  time  [T--H--F--N--B--O--#--:]  [n--v--p--f]   util                            in    out      in    out             in    out             in    out
 84% 501074      0      0  501095  120864 2133111  2794645      24       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     17%      21      0      0       0      0       0      0       0      0      0       0      0      0
 84% 493202      0      0  493203  122488 2158943  2762705       0       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     17%       1      0      0       0      0       0      0       0      0      0       0      0      0
 80% 492057      0      0  492059  120898 2126483  2777015    7273       0      0     2     74%    6%   0--0--0--0--0--0--0--0    0--0--0--0     16%       2      0      0       0      0       0      0       0      0      0       0      0      0
 78% 470853      0      0  470878  115316 2018258  2651005       0       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%      25      0      0       0      0       0      0       0      0      0       0      0      0
 80% 482477      0      0  482479  116271 2027562  2699528      12       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       2      0      0       0      0       0      0       0      0      0       0      0      0
 77% 469317      0      0  469323  111594 1950895  2631616      24       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%       6      0      0       0      0       0      0       0      0      0       0      0      0
